scenario,n_runs,survival_rate_pct,median_arr_usd,median_team_size,median_val_classical_musd,median_val_inverted_musd,median_inversion_diff_musd,median_inversion_diff_pct,pct_runs_with_positive_inversion
pre_genai_2019,10000,4.41,9583356.262228452,78.0,187.08240929125958,188.33726115688142,1.3391583817436694,0.7158120246670537,100.0
post_genai_2026,10000,99.95,25310747.997216433,48.0,470.27218579976557,506.15328454304546,34.914188958954156,7.424251319388057,100.0
future_2030,10000,100.0,22465049.357883934,36.0,438.55361772209596,438.55361772209596,0.0,0.0,0.0
adas_regulated,10000,75.18,245793849.53516302,114.0,5114.065870037186,5114.065870037186,0.0,0.0,0.0
