scenario,survived,months_run,final_arr_usd,final_team_size,final_cash_usd,final_trl,final_layer4_substitutability,valuation_vc_method,valuation_comparable_multiples,valuation_damodaran_classical,valuation_damodaran_inverted
future_2030_extrapolation,True,96,21230079.570391953,36.0,43369617.325219795,8.0,0.9992561554930748,72181079.55152006,106579878.38842517,414445036.4564143,414445036.4564143
future_2030_extrapolation,True,96,26147769.93166336,42.0,46185626.39355324,8.0,0.9997131836942926,88900950.90196557,363885940.6184046,510446200.9504416,510446200.9504416
future_2030_extrapolation,True,96,21282561.4689799,36.0,42241798.806054525,8.0,0.9985469635784286,72359515.06253316,139066052.79418993,415469566.8780485,415469566.8780485
future_2030_extrapolation,True,96,18640914.92201884,30.0,47195980.15679811,8.0,0.999129256107963,63378064.99679164,260734653.84149638,363900410.20907885,363900410.20907885
future_2030_extrapolation,True,96,22348585.639625534,30.0,52160132.65069824,8.0,0.9992396576577051,75983937.43975909,265944217.96957484,436280060.0654037,436280060.0654037
future_2030_extrapolation,True,96,26975681.346610557,48.0,43433926.23288254,8.0,0.9995540764065219,91715803.26772201,381430834.18869215,526608353.11820835,526608353.11820835
future_2030_extrapolation,True,96,31160915.809479356,48.0,46061023.90918029,8.0,0.9992266444989426,105945365.65369657,310358482.8663773,608310809.4745824,608310809.4745824
future_2030_extrapolation,True,96,25470345.90962313,36.0,46811897.61370048,8.0,0.9994821585280752,86597747.2298894,212111290.24368146,497221802.87034845,497221802.87034845
future_2030_extrapolation,True,96,29667263.553996883,48.0,46958437.82946813,8.0,0.9992333006971206,100867031.77756512,122695480.37391971,579152333.5760765,579152333.5760765
future_2030_extrapolation,True,96,31163974.025299113,54.0,46142454.39678274,8.0,0.9986395218611979,105955763.41592066,282086930.9799968,608370510.7283019,608370510.7283019
future_2030_extrapolation,True,96,29687212.50995696,48.0,38414556.18948629,8.0,0.9986181100990776,100934857.1087114,183602285.68086043,579541769.0349842,579541769.0349842
future_2030_extrapolation,True,96,20842746.715329356,42.0,46173514.46508958,8.0,0.999699357035686,70864169.57332188,215051519.5622095,406883680.94171035,406883680.94171035
future_2030_extrapolation,True,96,21900797.17529952,36.0,40251884.294842675,8.0,0.9999614880169223,74461481.781569,162072637.0111855,427538514.5706247,427538514.5706247
future_2030_extrapolation,True,96,25366772.17861817,42.0,44857518.7438479,8.0,0.9985620859323547,86245602.35486296,135171017.6087197,495199878.33728445,495199878.33728445
future_2030_extrapolation,True,96,22729813.84791724,48.0,37106999.705286466,8.0,0.9996076147440887,77280091.96140128,193506933.92886028,443722243.1321132,443722243.1321132
future_2030_extrapolation,True,96,25078263.35144511,30.0,48496583.239070594,8.0,0.9995203837907329,85264688.5275527,156051149.91805547,489567725.57029724,489567725.57029724
future_2030_extrapolation,True,96,22457925.42550695,30.0,50773445.187075056,8.0,0.9980014726019026,76355686.57789512,267841411.6871186,438414547.1922893,438414547.1922893
future_2030_extrapolation,True,96,26271901.430278327,42.0,42147478.374997504,8.0,0.9998038024227766,89322991.0335943,270127223.2776582,512869445.9174843,512869445.9174843
future_2030_extrapolation,True,96,27388707.56271333,42.0,40488907.04887418,8.0,0.999737662771392,93120069.23208302,268981736.4641886,534671284.0470634,534671284.0470634
future_2030_extrapolation,True,96,23686686.694035344,36.0,49661195.2624927,8.0,0.9940335074770993,80533405.95852189,189288791.647617,462401928.2589952,462401928.2589952
future_2030_extrapolation,True,96,20915551.942176603,36.0,36532096.00073833,8.0,0.9990804110969334,71111703.26029669,211693679.95185694,408304955.167032,408304955.167032
future_2030_extrapolation,True,96,24730554.809430357,36.0,44189097.9006223,8.0,0.9998280809828655,84082498.9908299,212766063.64452752,482779899.88675714,482779899.88675714
future_2030_extrapolation,True,96,26023265.424979288,48.0,34748887.03994507,8.0,0.9993538153267157,88477642.5638273,183589108.7266119,508015674.2705684,508015674.2705684
future_2030_extrapolation,True,96,20113056.14542309,30.0,45589224.52302833,8.0,0.9991875635964057,68383262.57060611,127545276.07295996,392638956.4297748,392638956.4297748
future_2030_extrapolation,True,96,22184556.347526856,30.0,38980905.2746038,8.0,0.9974617923231824,75426247.04851504,281875573.51012415,433077946.4926139,433077946.4926139
future_2030_extrapolation,True,96,15700119.771429384,24.0,43030827.66419669,8.0,0.9995701537504416,53379526.460673325,140237904.85740924,306491395.3556129,306491395.3556129
future_2030_extrapolation,True,96,17167164.66980544,24.0,44927530.00795507,8.0,0.9939288779737073,58367396.81529108,67013171.97540417,335130453.1780155,335130453.1780155
future_2030_extrapolation,True,96,25925759.00049507,42.0,51701720.43214389,8.0,0.9999424745741099,88146126.19060113,277957829.1717985,506112193.2442205,506112193.2442205
future_2030_extrapolation,True,96,22135672.926971376,42.0,28888324.527549572,8.0,0.9985285911399433,75260046.16094105,291398676.8834931,432123664.1053504,432123664.1053504
future_2030_extrapolation,True,96,19716839.38904097,30.0,45408618.83277565,8.0,0.9995417986957257,67036147.82630018,76406347.06867611,384904172.98259264,384904172.98259264
future_2030_extrapolation,True,96,22720487.670403384,48.0,38349827.90238587,8.0,0.999532863629927,77248383.4810441,212779716.80593055,443540181.26244795,443540181.26244795
future_2030_extrapolation,True,96,22301982.84507293,36.0,45398802.83334041,8.0,0.9999856570395893,75825490.55265386,188710268.35687983,435370299.137599,435370299.137599
future_2030_extrapolation,True,96,23090360.464547686,36.0,51603435.07333255,8.0,0.9979872815117355,78505930.23161334,98670043.75186802,450760688.52174044,450760688.52174044
future_2030_extrapolation,True,96,20378610.421453938,24.0,50300228.347344935,8.0,0.9998269571700963,69286132.21176192,156244614.8760689,397822999.7229639,397822999.7229639
future_2030_extrapolation,True,96,22254335.92701759,36.0,38106895.87564017,8.0,0.9998906926111237,75663493.70421371,128347473.83664718,434440155.25259817,434440155.25259817
future_2030_extrapolation,True,96,25646149.935507085,36.0,48258986.83795889,8.0,0.9996671145701662,87195471.0554517,189056635.91957456,500653778.0391215,500653778.0391215
future_2030_extrapolation,True,96,25061787.24171279,42.0,46380583.26639324,8.0,0.9989220242759808,85208670.67875731,171844618.52606994,489246085.6124239,489246085.6124239
future_2030_extrapolation,True,96,19293483.607633974,24.0,51314712.673472375,8.0,0.9970497491697937,65596761.91938386,250560041.4029533,376639592.45299566,376639592.45299566
future_2030_extrapolation,True,96,25169284.207618043,36.0,49055704.21298819,8.0,0.9995881868519062,85574154.3323549,223301904.34222788,491344597.9522312,491344597.9522312
future_2030_extrapolation,True,96,21306377.161079947,42.0,42982173.42386368,8.0,0.9979490182284007,72440487.07963502,180041303.24047932,415934487.19772565,415934487.19772565
future_2030_extrapolation,True,96,22664190.209884636,42.0,44938484.28248653,8.0,0.9997486423047108,77056975.27351578,175855410.54154557,442441164.98228127,442441164.98228127
future_2030_extrapolation,True,96,27248830.732040294,54.0,41114606.45922169,8.0,0.9996053048484224,92644495.85475543,215140643.87249053,531940665.06867087,531940665.06867087
future_2030_extrapolation,True,96,20714328.35774461,48.0,41327393.89827309,8.0,0.9996565580386605,70427554.36168474,243660503.9112678,404376749.6457435,404376749.6457435
future_2030_extrapolation,True,96,21456393.295720533,30.0,50488479.55624488,8.0,0.9994585084780769,72950533.52164672,102586320.97196642,418863041.57191074,418863041.57191074
future_2030_extrapolation,True,96,26645819.66850244,36.0,50347890.40608701,8.0,0.9971359088119471,90594292.06708921,403380510.693533,520168926.70175004,520168926.70175004
future_2030_extrapolation,True,96,27729560.58830644,48.0,33822081.60214881,8.0,0.9992245149674104,94278950.39756036,223436623.76596156,541325279.1086376,541325279.1086376
future_2030_extrapolation,True,96,16606624.962930318,24.0,43104226.53685546,8.0,0.9992464024744134,56461593.25767435,173699619.0749517,324187823.477507,324187823.477507
future_2030_extrapolation,True,96,21632016.56450459,36.0,38360993.49077362,8.0,0.9993086613034735,73547642.78320971,259450629.36452574,422291488.0736051,422291488.0736051
future_2030_extrapolation,True,96,22112792.487779435,42.0,41273328.996957056,8.0,0.9996175800758899,75182253.95125991,88172434.24052502,431677001.41510457,431677001.41510457
future_2030_extrapolation,True,96,22820377.0600202,36.0,43096215.85012239,8.0,0.9999787136657431,77588001.80203898,173494051.66310874,445490181.57140046,445490181.57140046
future_2030_extrapolation,True,96,20377000.062390786,30.0,41934665.94846436,8.0,0.9998743940846709,69280657.08128685,72735068.18665814,397791562.9439155,397791562.9439155
future_2030_extrapolation,True,96,20877812.5924064,30.0,48879360.315801755,8.0,0.9999801766410418,70983391.58822058,200726643.1643004,407568222.8274525,407568222.8274525
future_2030_extrapolation,True,96,21074632.12916456,30.0,42164813.65729422,8.0,0.9996936531671563,71652566.9718045,199116866.01590723,411410454.30928034,411410454.30928034
future_2030_extrapolation,True,96,22153173.055132106,42.0,41678666.25258823,8.0,0.9994437395152831,75319545.61494653,196215317.7673175,432465294.5372816,432465294.5372816
future_2030_extrapolation,True,96,23100637.284724724,36.0,43466303.665475,8.0,0.9998674586902722,78540870.84369516,131808961.29968129,450961308.4534183,450961308.4534183
future_2030_extrapolation,True,96,21438423.094615005,24.0,45530543.15730947,8.0,0.9976893718994931,72889435.84599958,185747662.3222682,418512234.5658599,418512234.5658599
future_2030_extrapolation,True,96,25658327.942229185,42.0,45221312.70319398,8.0,0.9999631562869846,87236875.59513193,187905324.02187696,500891512.16645586,500891512.16645586
future_2030_extrapolation,True,96,24424572.399100207,36.0,43610652.47617245,8.0,0.9997728693968163,83042175.96103738,274494944.1317678,476806634.888676,476806634.888676
future_2030_extrapolation,True,96,25174788.86564013,54.0,39421095.34177058,8.0,0.9992332027900456,85592869.86082377,321129598.16034704,491452057.66226566,491452057.66226566
future_2030_extrapolation,True,96,20540932.80359034,30.0,45847595.68365744,8.0,0.9998397769507926,69838019.2048903,74432420.94538559,400991791.68905884,400991791.68905884
future_2030_extrapolation,True,96,17451855.797879364,30.0,47262146.044260345,8.0,0.9989576488197082,59335330.67983364,228952741.94436675,340688078.36553305,340688078.36553305
future_2030_extrapolation,True,96,19400659.80867989,30.0,46357681.41329544,8.0,0.9989120704989347,65961154.99045431,71564484.45776062,378731842.9508073,378731842.9508073
future_2030_extrapolation,True,96,26188141.465615883,42.0,46311108.195835486,8.0,0.9991812530956649,89038211.85259847,310202705.64146245,511234317.72623026,511234317.72623026
future_2030_extrapolation,True,96,23006804.80620216,42.0,43860103.48858128,8.0,0.9993372150039098,78221845.68063363,171563327.7063501,449129548.7158658,449129548.7158658
future_2030_extrapolation,True,96,28677427.55363852,66.0,37216818.16261512,8.0,0.9998408636139595,97501644.90523008,188247039.45579076,559829155.0691756,559829155.0691756
future_2030_extrapolation,True,96,18664261.80580613,30.0,43137357.70941212,8.0,0.9995728803555254,63457443.091929846,294686062.58219725,364356178.6422721,364356178.6422721
future_2030_extrapolation,True,96,22025571.677913938,36.0,41707546.800986946,8.0,0.9981726335721307,74885708.09072392,130745468.08573896,429974312.00197226,429974312.00197226
future_2030_extrapolation,True,96,23413000.474491216,36.0,47653628.5141694,8.0,0.9971599682096988,79602888.16561542,296189164.337359,457059136.4498315,457059136.4498315
future_2030_extrapolation,True,96,24573916.38212439,42.0,44420741.83593183,8.0,0.9998625574379508,83549937.1252604,203903521.61945844,479722067.7905537,479722067.7905537
future_2030_extrapolation,True,96,19628269.84502751,30.0,52790547.11533908,8.0,0.9986552903519351,66735016.34532386,78988045.7961927,383175154.12631,383175154.12631
future_2030_extrapolation,True,96,20383532.692376155,36.0,38793057.66804053,8.0,0.9999453040034143,69302867.65676261,198730740.85294184,397919090.3073182,397919090.3073182
future_2030_extrapolation,True,96,19909164.702157635,36.0,42061087.65445216,8.0,0.9996209827363456,67690043.10162482,199860106.57807973,388658670.04615,388658670.04615
future_2030_extrapolation,True,96,22288435.09065719,30.0,40908904.24965305,8.0,0.9983051360649575,75779428.94765684,181892112.32926068,435105825.3491652,435105825.3491652
future_2030_extrapolation,True,96,21814196.22127175,30.0,45338097.50681466,8.0,0.9964327490424458,74167043.39610794,127105872.29446205,425847925.7327358,425847925.7327358
future_2030_extrapolation,True,96,20722076.83391498,42.0,39697146.36938133,8.0,0.9992584438479702,70453898.74598165,244975140.3918569,404528012.26717,404528012.26717
future_2030_extrapolation,True,96,20690698.876066048,30.0,43481798.63543227,8.0,0.9982330992805255,70347215.44956967,165728376.29199615,403915464.45068586,403915464.45068586
future_2030_extrapolation,True,96,20894424.668533206,42.0,37269160.45806299,8.0,0.9983647629411169,71039871.71512963,125141780.35318938,407892517.0663489,407892517.0663489
future_2030_extrapolation,True,96,18437223.682451904,30.0,39309699.07843627,8.0,0.999723054415889,62685526.20915405,96049748.03636715,359924032.1211744,359924032.1211744
future_2030_extrapolation,True,96,20715373.773470726,30.0,44814395.86723881,8.0,0.9970461261363742,70431108.71650667,136922778.33133337,404397157.82920253,404397157.82920253
future_2030_extrapolation,True,96,16055708.824869715,24.0,43565325.60159032,8.0,0.9985189950229441,54588509.29415369,80996104.66654302,313433061.1994899,313433061.1994899
future_2030_extrapolation,True,96,21122948.87785428,42.0,26706348.40617437,8.0,0.9987109914267764,71816841.20682466,186901024.36457527,412353674.3573151,412353674.3573151
future_2030_extrapolation,True,96,19491655.081781223,30.0,39567482.79832609,8.0,0.9995701823155073,66270533.81424826,424769081.789488,380508215.91035277,380508215.91035277
future_2030_extrapolation,True,96,29629916.572703086,48.0,44276223.187146015,8.0,0.9992873109310034,100740054.13629729,182028616.52196208,578423260.8953773,578423260.8953773
future_2030_extrapolation,True,96,17862348.60271233,30.0,47108292.286426224,8.0,0.9966586251628875,60730983.18799934,140129266.8173908,348701553.06307304,348701553.06307304
future_2030_extrapolation,True,96,17218115.28596774,24.0,47521804.633566074,8.0,0.9998690252224198,58540626.05196048,113295385.62989716,336125090.52277184,336125090.52277184
future_2030_extrapolation,True,96,20857671.30911486,36.0,45974553.62903087,8.0,0.9994160018828449,70914912.35493669,150395016.93124828,407175032.83207995,407175032.83207995
future_2030_extrapolation,True,96,20714681.645433374,36.0,35271093.200923644,8.0,0.999589205353789,70428755.52000742,100417743.3552408,404383646.3852758,404383646.3852758
future_2030_extrapolation,True,96,24487817.80005956,36.0,41671388.75329117,8.0,0.9996671076251886,83257206.77629073,137520985.53374416,478041286.0551678,478041286.0551678
future_2030_extrapolation,True,96,20774553.62755326,30.0,43683341.08818008,8.0,0.9989598785028563,70632316.90045226,167776540.6995903,405552443.0320393,405552443.0320393
future_2030_extrapolation,True,96,25143706.265800074,36.0,46306319.15835235,8.0,0.9999917464848072,85487190.76507266,183577710.3037099,490845275.7055067,490845275.7055067
future_2030_extrapolation,True,96,23385565.35929194,36.0,49459311.08998489,8.0,0.9997495178289768,79509610.31302246,142574426.56651708,456523559.21465206,456523559.21465206
future_2030_extrapolation,True,96,20970022.946131006,36.0,37978174.81951543,8.0,0.9999460020216494,71296901.61796875,141787445.25510886,409368316.1000349,409368316.1000349
future_2030_extrapolation,True,96,25983495.207133815,42.0,48161514.721519016,8.0,0.9987584450638901,88342426.0542251,351769255.7753791,507239296.14489067,507239296.14489067
