scenario,survived,months_run,final_arr_usd,final_team_size,final_layer3_substitutability,val_vc_method,val_comparable_multiples,val_damodaran_classical,val_damodaran_inverted
pre_genai_2019,False,67,1029468.0144524792,108.0,0.05000000000000001,3500133.4969357313,8235744.115619834,20096858.67477854,20228807.74688567
post_genai_2026,True,96,25845282.70208113,48.0,0.9964853618004278,82380479.3349746,193839620.26560846,480203808.6846441,515633479.9351575
future_2030,True,96,21787713.35237866,36.0,0.9992848815821451,74077003.12753586,174301706.81902927,425330937.86523974,425330937.86523974
adas_regulated,True,96,222335733.22892433,120.0,0.9964853618004278,457992709.9120122,2112189465.674781,4625988759.05994,4625988759.05994
