scenario,survived,months_run,final_arr_usd,final_team_size,final_cash_usd,final_trl,final_layer3_substitutability,valuation_vc_method,valuation_comparable_multiples,valuation_damodaran_classical,valuation_damodaran_inverted
pre_genai_2019_baseline,False,60,760743.5475350716,115.83632271943739,-75139.87630846398,8.0,0.010000000000000002,2586485.384610398,3857536.119231856,19521596.00166598,19656179.526518505
pre_genai_2019_baseline,False,64,769163.7176656054,90.0,-824206.4251410125,8.0,0.08332962025819131,2615113.4906904628,6435761.295033335,19521596.00166598,19655784.110405006
pre_genai_2019_baseline,False,70,1678921.674579437,96.0,-211960.99170206313,8.0,0.02540832931391764,5708239.507618211,29187307.221954484,32775230.649580296,32990421.55788562
pre_genai_2019_baseline,False,75,2023815.50122343,78.0,-422958.06091750006,8.0,0.06765791663150152,6880859.169983361,11950547.008550143,39508108.596792944,39767505.26939815
pre_genai_2019_baseline,False,58,589258.7641240554,104.82871230927938,-469262.4272834896,8.0,0.08334342793279928,2003446.7411505599,5129760.152466786,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,67,946309.7857757931,96.0,-669132.1292687691,8.0,0.10275133751981592,3217400.184534653,11664530.678152472,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,60,817506.4761125142,139.00358726332485,-611566.0924870785,8.0,0.0768456891017562,2779476.1574259517,6455222.755417985,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,75,1644651.2593680366,96.0,-172701.5252978187,8.0,0.02816410210839902,5591722.018438023,16986181.83276141,32106217.44901399,32349345.4906956
pre_genai_2019_baseline,False,79,3235554.61748594,78.0,-455890.21167586965,8.0,0.0720983536587895,11000704.1878331,33746580.7012511,63163190.083885446,63677859.691712484
pre_genai_2019_baseline,False,66,950762.4185425681,114.0,-987164.8050939844,8.0,0.02601362682340363,3232538.8861531112,6678929.502446892,19521596.00166598,19667382.687987786
pre_genai_2019_baseline,False,61,660350.4641608687,110.04450658346548,-1346936.3950532689,8.0,0.07898439227452832,2245154.533097158,5404096.35864946,19521596.00166598,19649768.096626412
